Municipio,Circunscripcion,Recinto,Sector,Colegios
SANTO DOMINGO ESTE,2,COLEG. NTRA. SRA. DEL ROSARIO DE FATIMA,INVI LOS MINA,0993 0993A 0993B 0994 0994A 0995 0995A 0996 0996A 1323 1323A 1406 1406A 1568 1718 1774 1875 1921 1994 2215
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA ALTAGRACIA,KATANGA LOS MINA,0950 0950A 0951 0951A 0952 0952A 0953 0953A 1339 1339A 1558 1559
SANTO DOMINGO ESTE,2,COMEDOR ECONOMICO,LOS MINA NUEVO,1315 1315A 1328 1328A 2099
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO SANTA CLARA,MAQUITERIA VILLA DUARTE,1062 1062A 1063 1063A 1064 1064A 1332 1332A 1332B 1410 1410A 1684 1822 1841 2051
SANTO DOMINGO ESTE,2,COLEGIO MAX HENRIQUEZ UREÑA,KATANGA LOS MINA,0930 0930A 0954 0954A 0954B 0955 0955A 0956 0956A 1842 2052
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA SAN ANTONIO,Vietnam ( San Lorenzo de Los Minas ),0957 0957A 0958 0958A 0959 0959A 0960 0960A 0960B 0960C 1946 2053
SANTO DOMINGO ESTE,2,ESC. PRIMARIA LABORAL PROF. C. CANARIO,CANCINO 1ERO,0961 0961A 0962 0962A 1322 1322A 1387 1387A 1427 1427A 1427B 1843 1899 2047 2054 2263
SANTO DOMINGO ESTE,1,COLEGIO EVANGELICO PARROQUIAL,VILLA DUARTE,1002 1002A 1003 1003A 1003B 1571 1804 2055
SANTO DOMINGO ESTE,1,ESCUELA BASICA SAN JUAN,MAQUITERIA VILLA DUARTE,1053 1053A 1054 1054A 1057 1057A 1058 1058A 1059 1059A 1060 1060A 1683
SANTO DOMINGO ESTE,1,HOSPITAL DR. DARIO CONTRERAS,ALMA ROSA,0992 0992A 1051 1051A 1052 1052A 1055 1055A 1055B 1056 1056A 1567 1567A
SANTO DOMINGO ESTE,1,COLEGIO CARDENAL SANCHA,ALMA ROSA I,1297 1297A 1297B 1297C 1297D 1297E 1297F 1297G 1297H 1297I 1297K 2046 2056 2141 2193 2248 2264 2356
SANTO DOMINGO ESTE,1,COLEGIO SAN FRANCISCO DE ASIS,ALMA ROSA,0985 0985A 0986 0986A 0987 0987A 0988 0988A 0989 0989A 0990 0990A 0990B 0991 0991A 1295 1295A 1564 1947 2002 2118 2194 2265
SANTO DOMINGO ESTE,1,CENTRO EDUCATIVO ISABELITA LA,ISABELITA,1413 1413A 1413B 1413C 1823 1970 2057 2266
SANTO DOMINGO ESTE,1,ESCUELA BASICA PROF. ESCOLASTICA PAEZ,ISABELITA,1070 1070A 1070B 1070C 1070D 1070E 1070F 1070G 1971 2126 2249 2267
SANTO DOMINGO ESTE,1,COLEGIO PURISIMA CONCEPCION,OZAMA,0981 0981A 0982 0983 0983A 2268
SANTO DOMINGO ESTE,1,COLEGIO SAN MARTIN DE PORRES,OZAMA,0973 0973A 0973B 0974 0974A 0975 0975A 1562
SANTO DOMINGO ESTE,1,ESCUELA REPUBLICA DE PANAMA,OZAMA,0976 0976A 0977 0977A 0977B 0978 0978A 0978B 0979 0979A 0979B 0980 0980A 1294 1294A 1563 1563A 2058
SANTO DOMINGO ESTE,1,EST.BOMBEROS CIVILES NO.2,OZAMA,0969 0969A 0970 0970A 1561
SANTO DOMINGO ESTE,1,JUZGADO DE PAZ DE LA 4TA CIRC.,OZAMA,0967 0968 0968A
SANTO DOMINGO ESTE,1,POLICLINICA ZONA E IDSS,OZAMA,0984 0984A 0984B
SANTO DOMINGO ESTE,2,COLEGIO SAN VICENTE DE PAUL,KATANGA LOS MINA,0928 0928A 0928B 0928C 0929 0929A 0935 0935A 0936 0936A 0937 0937A 0938 0938A 0939 0939A 0940 0940A 0941 0941A 0942 0942A 0943 0943A 0944 0944A 0945 0945A 0946 0946A 0947 0947A 0947B
SANTO DOMINGO ESTE,2,COLEGIO LA MILAGROSA,LA MILAGROSA,0867 0867A 0868 0868A 0869 0869A 0870 0870A 0870B 0871 0871A 0872 0872A 0873 0873A 1547
SANTO DOMINGO ESTE,2,COLEGIO MANUEL UBALDO GOMEZ,LOS TRES BRAZOS ( SAN LORENZO DE LOS MINA ),1374 1374A 1374B 1662 1662A 1948
SANTO DOMINGO ESTE,1,OF. DE METEOROLOGIA,LOS MAMEYES,1068 1068A 1068B 1068C 1068D 1386 1386A 1386B 1386C 1386D 1386E 1386F 1816 2001 2142
SANTO DOMINGO ESTE,2,COLEGIO CRISTO REDENTOR,LOS MINA NUEVO,0886 0886A 0887 0887A 0892 0893 0893A 1551
SANTO DOMINGO ESTE,2,COLEGIO JOSEFINA WRIGHT,LOS MINA NUEVO,0907 0907A 0908 0908A 1555 1949
SANTO DOMINGO ESTE,2,COLEGIO SAN MARCOS,LOS MINA NUEVO,0890 0890A 0891 0891A 1552
SANTO DOMINGO ESTE,2,CENTRO ED. VIRGEN DE LA ALTAGRACIA,LOS MINA NUEVO,0883 0883A 0883B 0884 0884A 0885 0885A 0885B 0894 0894A 0894B 1321 1321A 1321B 1341 1341A 1549 1550 2269
